-4784	-2664	-2864	-3271	-2876	-3116	-3469	-2326	-2877	-3112	-3797	-2326	-368	-2311	-2727	-2591	-794	-880	-2403	-4006	-2728	-3990	-4000	-3575	-2424	-623	-3660	-3593	-3641	-3631	-22	1690	3487	5498	3018	3581	2939	3610	3620	3574	2937	3937	3965	3881	3983	5863	16423	49556	154150	455708	1366517	4099585	4099489	4099575	4099548	1367121	455022	146817	47697	15429	12	23616	19917	5310	450	279	81	234	288	1350
-1636	-732	-1352	-822	-1357	-724	-1334	-1361	-1356	-722	-2138	-1352	-698	-1334	-1327	-667	-819	-843	-619	-1899	-1434	-1891	-1813	-838	-623	-1250	-1210	-841	-1204	-889	0	444	974	878	-18	450	-79	467	459	294	-92	1066	1058	1107	1075	1571	4455	14098	43376	128477	385416	1156334	1156335	1156337	1156341	385536	128553	41802	13614	4731	-12	5409	3807	1395	27	-558	-873	-783	-630	-729
-7685	-4168	-4696	-5009	-4687	-5069	-5579	-3989	-4706	-4878	-6179	-3962	-637	-3965	-4467	-3806	-1343	-1530	-3647	-6476	-4419	-6657	-6562	-5656	-3660	-1210	-6062	-5739	-6046	-5713	-3	2752	6071	9003	5109	6023	5140	6024	6040	5990	5021	6546	6566	6611	6566	9713	27317	82370	256514	757898	2273077	6819281	6819138	6819271	6819249	2273817	757197	244305	79542	25623	-39	39087	32850	8901	621	180	-72	-135	36	1350
-7494	-3986	-4439	-4921	-4421	-5045	-5316	-3651	-4434	-4889	-5836	-3629	-457	-3645	-4246	-3880	-1242	-1332	-3588	-6084	-4207	-6202	-6058	-5644	-3593	-841	-5739	-5740	-5691	-5646	-40	2533	5391	8455	4566	5607	4651	5614	5619	5314	4560	5930	5965	5819	5952	8938	25034	75239	234454	692707	2077228	6231778	6231606	6231742	6231708	2078232	691716	222957	72471	23337	-42	36639	31122	8289	729	567	378	252	486	2214
-7616	-4175	-4688	-4980	-4685	-5026	-5543	-3971	-4701	-4845	-6134	-3941	-637	-3950	-4434	-3760	-1310	-1512	-3633	-6464	-4411	-6655	-6559	-5625	-3641	-1204	-6046	-5691	-6066	-5691	13	2798	6273	9199	5329	6224	5354	6206	6235	6211	5238	6750	6767	6847	6755	9927	27910	84176	262236	774694	2323534	6970629	6970496	6970636	6970620	2324208	774066	249726	81342	26196	-42	40056	33678	9189	666	144	-135	-180	-18	1188
-7455	-4050	-4470	-4965	-4464	-4935	-5331	-3651	-4471	-4859	-5847	-3639	-508	-3635	-4249	-3897	-1245	-1317	-3630	-6167	-4197	-6219	-6136	-5604	-3631	-889	-5713	-5646	-5691	-5652	-24	2628	5646	8710	4848	5811	4843	5824	5837	5648	4797	6247	6272	6162	6273	9258	25916	78023	243032	718155	2153587	6460829	6460673	6460813	6460785	2154531	717183	231264	75201	24270	3	37770	32013	8604	792	459	261	279	441	2079
-48	-2	-2	-33	-2	-33	-30	0	-2	-30	-33	0	0	0	-18	-52	-18	-18	-18	1	-10	9	6	-28	-22	0	-3	-40	13	-24	-16	-44	-186	-168	-186	-166	-186	-158	-164	-196	-186	-176	-170	-208	-170	-188	-534	-1632	-5140	-15116	-45408	-136210	-136216	-136218	-136224	-45348	-15180	-4896	-1626	-516	0	-798	-666	-234	-18	54	54	54	54	162
3403	2007	2178	2337	2184	2240	2503	1748	2184	2249	2710	1748	264	1733	1979	1671	531	537	1698	3041	1942	3059	3043	2569	1690	444	2752	2533	2798	2628	-44	-1496	-3554	-4955	-3210	-3523	-3152	-3512	-3541	-3691	-3152	-3830	-3823	-3943	-3834	-5309	-14868	-44960	-140054	-413786	-1241178	-3723498	-3723451	-3723527	-3723528	-1241352	-413559	-133509	-43554	-14052	-45	-21288	-17919	-4968	-378	72	144	54	18	-270
7348	4440	5214	4950	5217	4880	5304	3953	5201	5082	6285	3971	635	3953	4313	3264	1159	987	3563	7085	4523	7018	6719	5613	3487	974	6071	5391	6273	5646	-186	-3554	-9362	-12189	-8161	-9181	-8110	-9086	-9195	-9146	-8201	-9827	-9780	-10303	-9778	-13163	-36655	-111145	-347192	-1024493	-3073412	-9220289	-9220226	-9220406	-9220449	-3073608	-1024563	-330282	-107886	-34794	-48	-54270	-45936	-12978	-918	621	936	882	549	1080
11088	6623	7162	7665	7170	7544	7951	5466	7163	7653	8671	5478	566	5463	6209	5414	1446	1419	5557	9813	6333	9830	9618	8629	5498	878	9003	8455	9199	8710	-168	-4955	-12189	-17070	-11172	-12406	-11105	-12317	-12436	-12534	-11151	-13031	-13006	-13421	-13001	-17984	-50197	-151511	-473014	-1396382	-4188551	-12565617	-12565460	-12565725	-12565746	-4189197	-1395732	-449898	-146754	-47130	-42	-74085	-63045	-17361	-1377	-18	279	171	-108	-783
