-1309	-1134	-1023	-1438	-1329	-866	-637	-1113	-1283	-1378	-1300	-875	-669	-1304	-911	-1224	-939	-1750	-1201	-733	-1102	-729	-96	-171	370	145	315	170	445	120	205	250	-640	20	380	2400
-1073	-735	-657	-1359	-1262	-569	-573	-834	-1026	-1132	-875	-738	-576	-915	-783	-700	-420	-1358	-1087	-755	-1009	-610	-83	-312	265	-155	185	210	405	110	290	-80	-1475	-255	20	1175
-863	-561	-482	-1159	-1060	-429	-454	-658	-833	-921	-669	-576	-490	-711	-621	-507	-243	-1063	-889	-656	-857	-490	-66	-314	180	-190	120	170	325	90	255	-130	-1495	-260	-55	750
-1364	-1169	-1048	-1523	-1420	-886	-662	-1169	-1326	-1446	-1304	-915	-711	-1338	-968	-1219	-930	-1816	-1270	-782	-1150	-769	-113	-248	400	115	350	210	485	150	275	235	-1030	-70	335	2450
-1136	-774	-686	-1469	-1366	-594	-607	-898	-1089	-1214	-911	-783	-621	-968	-844	-716	-412	-1444	-1167	-815	-1080	-660	-97	-385	300	-180	215	250	455	140	350	-100	-1830	-325	-10	1250
-1064	-1229	-1110	-822	-808	-905	-420	-994	-1044	-1099	-1224	-700	-507	-1219	-716	-1386	-1297	-1494	-833	-383	-662	-583	-76	150	330	520	405	35	230	105	40	655	990	385	695	3075
-654	-1093	-1032	-47	-129	-806	-166	-729	-601	-617	-939	-420	-243	-930	-412	-1297	-1486	-1006	-337	59	-84	-314	-51	465	260	800	430	-90	20	75	-110	970	2510	655	895	3275
-2002	-1505	-1341	-2431	-2256	-1150	-1025	-1635	-1926	-2118	-1750	-1358	-1063	-1816	-1444	-1494	-1006	-2604	-1966	-1297	-1815	-1136	-166	-530	560	-105	440	380	780	225	520	55	-2415	-350	220	2825
-1593	-928	-830	-2224	-2017	-748	-900	-1196	-1533	-1701	-1201	-1087	-889	-1270	-1167	-833	-337	-1966	-1714	-1284	-1627	-924	-118	-601	360	-435	190	365	660	190	520	-340	-2900	-540	-170	1175
-1111	-499	-433	-1746	-1549	-421	-668	-768	-1093	-1209	-733	-755	-656	-782	-815	-383	59	-1297	-1284	-1080	-1265	-660	-65	-516	170	-520	15	270	455	140	415	-485	-2540	-500	-325	125
-1497	-767	-652	-2241	-2007	-613	-860	-1074	-1458	-1606	-1102	-1009	-857	-1150	-1080	-662	-84	-1815	-1627	-1265	-1662	-852	-105	-694	295	-580	90	345	655	130	475	-530	-3365	-630	-305	575
-876	-619	-538	-1167	-1086	-470	-469	-708	-873	-970	-729	-610	-490	-769	-660	-583	-314	-1136	-924	-660	-852	-554	-75	-315	260	-110	185	210	355	130	280	-60	-1465	-230	15	1075
-115	-95	-80	-154	-154	-66	-58	-120	-110	-136	-96	-83	-66	-113	-97	-76	-51	-166	-118	-65	-105	-75	-24	-93	70	-10	55	50	80	30	70	5	-445	-85	-5	225
-425	-33	35	-1015	-931	-12	-301	-352	-442	-564	-171	-312	-314	-248	-385	150	465	-530	-601	-516	-694	-315	-93	-738	220	-510	35	300	430	110	410	-520	-3650	-755	-480	-475
69	67	59	87	89	49	36	81	72	86	74	53	36	80	60	66	52	112	72	34	59	52	14	44	-58	-14	-44	-34	-55	-24	-43	-22	199	30	-20	-210
-45	70	68	-165	-139	43	-51	1	-40	-50	29	-31	-38	23	-36	104	160	-21	-87	-104	-116	-22	-2	-102	-14	-150	-51	33	45	-3	48	-156	-534	-130	-134	-365
50	80	67	26	37	51	11	66	50	59	63	37	24	70	43	81	86	88	38	3	18	37	11	7	-44	-51	-56	-18	-28	-22	-28	-62	14	-10	-49	-270
55	19	15	103	96	17	37	50	56	69	34	42	34	42	50	7	-18	76	73	54	69	42	10	60	-34	33	-18	-38	-50	-19	-48	30	293	59	28	-35
115	57	50	185	168	47	70	102	112	131	89	81	65	97	91	46	4	156	132	91	131	71	16	86	-55	45	-28	-50	-86	-25	-67	38	415	80	27	-105
28	27	23	44	42	19	14	38	32	40	24	22	18	30	28	21	15	45	38	28	26	26	6	22	-24	-3	-22	-19	-25	-24	-34	-7	101	16	-2	-90
79	33	24	144	135	24	47	75	79	98	41	58	51	55	70	8	-22	104	104	83	95	56	14	82	-43	48	-28	-48	-67	-34	-80	40	403	83	43	-50
-19	97	93	-150	-122	66	-42	26	-20	-27	50	-16	-26	47	-20	131	194	11	-68	-97	-106	-12	1	-104	-22	-156	-62	30	38	-7	40	-176	-545	-132	-146	-435
-399	8	67	-988	-905	15	-294	-317	-408	-528	-128	-295	-299	-206	-366	198	502	-483	-580	-508	-673	-293	-89	-730	199	-534	14	293	415	101	403	-545	-3630	-766	-507	-605
-66	31	36	-189	-173	22	-58	-44	-61	-86	4	-51	-52	-14	-65	77	131	-70	-108	-100	-126	-46	-17	-151	30	-130	-10	59	80	16	83	-132	-766	-174	-127	-215
10	100	96	-95	-78	71	-20	38	12	3	76	4	-11	67	-2	139	179	44	-34	-65	-61	3	-1	-96	-20	-134	-49	28	27	-2	43	-146	-507	-127	-136	-395
69	108	98	29	36	77	20	83	69	75	96	47	30	98	50	123	131	113	47	5	23	43	9	-19	-42	-73	-54	-7	-21	-18	-10	-87	-121	-43	-79	-342
