-8	-2	-7	22	-1	11	-3	-6	7	13	-20	0	2	-23	17	-1	6	-13	-26	7	17	-2	14	-7	-2	-18	2	13	10	8	1	-3	-7	21	-6	5	9	-15	1	7	-11	1	14	-18	1	9	-6	3
-8	2	-5	5	3	5	-3	1	2	1	0	-10	-2	-2	-4	5	5	2	-8	1	4	5	2	-2	-1	-4	-1	5	9	3	1	-2	-2	2	8	-5	-2	5	-7	-4	5	-5	4	-2	-3	1	0	-3
2	-1	4	-1	0	-2	-4	3	5	-2	2	-2	-8	3	2	-1	1	0	3	1	1	-4	-1	-3	-2	-2	2	0	-2	-1	-1	1	5	-5	1	0	-5	0	2	1	-3	4	-4	4	2	2	3	-3
-8	-3	-6	31	-4	14	-5	-8	10	19	-23	-2	3	-34	24	-4	9	-18	-32	9	27	-5	20	-11	-5	-23	0	16	14	11	-3	-1	-7	28	-10	4	9	-22	3	8	-16	1	16	-21	0	13	-4	7
-2	5	-2	-23	5	-4	6	6	-10	-13	17	-4	2	24	-28	10	-4	15	16	-7	-21	13	-15	10	8	16	-4	-9	-4	-8	8	-2	0	-19	13	-4	-4	23	-10	-11	19	-9	-5	12	-5	-11	2	-8
7	-2	6	3	-5	-4	-1	0	3	3	-1	5	-1	-4	10	-10	0	-4	4	0	6	-8	2	-3	-3	0	1	-3	-4	-1	-7	6	5	2	-9	1	-2	-9	8	4	-8	5	-5	2	2	2	4	5
9	-3	5	-11	-2	-5	4	1	-4	-6	6	5	1	9	-4	0	-10	2	14	-3	-10	-2	-4	3	1	9	-2	-4	-9	-5	3	1	1	-9	-2	3	-1	3	3	-1	0	3	-5	8	4	-3	0	-1
1	-5	1	16	-7	7	0	-3	8	11	-13	2	0	-18	15	-4	2	-18	-15	7	15	-7	11	-8	-1	-13	-2	10	1	1	2	0	-2	14	-12	8	5	-16	6	7	-15	3	9	-10	2	10	0	3
-22	1	-16	35	5	20	-6	-8	9	18	-26	-8	3	-32	16	4	14	-15	-48	12	26	4	21	-10	-1	-29	2	21	22	14	5	-9	-11	31	1	2	12	-15	-7	7	-9	-4	24	-29	-4	12	-10	2
5	1	2	-11	-1	-5	3	3	-6	-4	7	1	1	9	-7	0	-3	7	12	-8	-8	1	-5	4	2	10	-2	-6	-3	-4	-2	4	1	-7	0	-2	-3	7	-1	-3	6	-3	-5	8	0	-6	4	-1
7	2	4	-28	5	-11	6	5	-12	-15	17	4	1	27	-21	6	-10	15	26	-8	-28	6	-17	12	7	19	0	-13	-12	-8	5	-1	2	-23	8	0	-3	19	-3	-7	13	0	-11	15	1	-12	0	-6
10	-4	9	3	-5	-6	-2	1	4	4	-2	5	-4	-5	13	-8	-2	-7	4	1	6	-14	5	-5	-4	-2	2	-1	-7	-1	-6	4	6	1	-11	3	-3	-11	10	8	-12	8	-5	3	4	5	4	4
5	2	4	-20	1	-8	3	5	-5	-11	14	2	-1	20	-15	2	-4	11	21	-5	-17	5	-16	8	4	14	0	-11	-9	-7	1	1	4	-17	5	-1	-4	13	-1	-6	10	-1	-10	12	-1	-8	3	-4
-1	-2	0	11	-3	4	-3	0	7	6	-7	-2	-3	-11	10	-3	3	-8	-10	4	12	-5	8	-8	-3	-9	0	7	3	2	-1	1	1	8	-5	2	0	-9	3	4	-9	2	4	-5	1	7	1	1
1	-1	1	7	-1	0	-4	-3	4	1	-2	-1	-2	-5	8	-3	1	-1	-1	2	7	-4	4	-3	-8	-2	2	2	3	4	-5	1	1	3	0	-3	-2	-5	3	1	-2	3	-2	-1	2	3	-1	3
-11	-1	-6	24	2	11	-7	-4	10	13	-18	-4	-2	-23	16	0	9	-13	-29	10	19	-2	14	-9	-2	-24	4	14	11	10	1	-5	-4	19	-3	4	6	-14	0	7	-12	3	13	-18	-1	11	-4	1
2	-2	0	-2	-5	4	4	0	-1	0	2	-1	2	0	-4	1	-2	-2	2	-2	0	2	0	0	2	4	-8	2	0	-4	4	2	-2	0	-2	1	0	1	-1	-4	1	-4	3	2	0	-1	2	0
8	2	8	-17	1	-12	2	4	-6	-8	13	5	0	16	-9	-3	-4	10	21	-6	-13	-1	-11	7	2	14	2	-16	-10	-6	-5	5	7	-15	1	-3	-5	8	2	-2	6	1	-13	14	-2	-7	5	0
14	-2	11	-18	-4	-12	5	6	-2	-7	10	9	-2	14	-4	-4	-9	1	22	-3	-12	-7	-9	3	3	11	0	-10	-20	-11	1	3	9	-16	-8	6	-4	1	9	4	-4	6	-11	13	2	-1	5	-1
8	-1	6	-14	-5	-5	5	6	-1	-5	8	3	-1	11	-8	-1	-5	1	14	-4	-8	-1	-7	2	4	10	-4	-6	-11	-12	4	4	5	-11	-5	4	-3	4	3	-1	0	-1	-5	10	0	-1	5	-3
4	1	4	3	-1	-6	-3	-1	0	3	1	1	-1	-3	8	-7	3	2	5	-2	5	-6	1	-1	-5	1	4	-5	1	4	-14	6	4	2	-3	-6	-4	-4	4	2	-1	2	-7	3	0	-1	5	5
-8	2	-6	4	6	3	-1	-2	0	-1	-3	-2	1	-1	-2	6	1	0	-9	4	-1	4	1	1	1	-5	2	5	3	4	6	-10	-3	3	6	0	4	1	-4	2	2	0	5	-7	-1	1	-7	0
-5	-1	-7	7	1	8	1	-5	-3	4	-7	-2	5	-7	0	5	1	-2	-11	1	2	6	4	1	1	-4	-2	7	9	5	4	-3	-12	10	3	1	7	0	-5	-4	3	-4	9	-9	1	-1	-6	0
10	2	10	-29	2	-14	3	9	-6	-16	21	2	-5	28	-19	2	-9	14	31	-7	-23	1	-17	8	3	19	0	-15	-16	-11	2	3	10	-30	7	-1	-10	18	0	-6	10	2	-16	21	0	-8	6	-7
11	-5	7	4	-10	-2	3	0	4	8	-6	8	1	-10	13	-9	-2	-12	1	0	8	-11	5	-5	0	-3	-2	1	-8	-5	-3	6	3	7	-20	9	2	-15	12	8	-15	5	0	-1	3	6	5	5
-5	4	-3	1	5	-2	-2	-1	-3	-3	5	-5	0	4	-4	1	3	8	2	-2	0	3	-1	2	-3	4	1	-3	6	4	-6	0	1	-1	9	-12	-4	6	-5	-3	9	-4	-3	3	-3	-4	0	2
4	1	5	-8	0	-6	-1	4	0	-5	9	-2	-5	9	-4	-2	-1	5	12	-3	-3	-3	-4	0	-2	6	0	-5	-4	-3	-4	4	7	-10	2	-4	-10	6	1	-2	4	0	-8	10	0	-2	6	-2
3	-5	2	20	-7	5	-3	-5	10	12	-15	5	0	-22	23	-9	3	-16	-15	7	19	-11	13	-9	-5	-14	1	8	1	4	-4	1	0	18	-15	6	6	-24	11	11	-19	8	5	-11	3	11	-1	8
