-35332	-18094	-70320	-14645	-84398	-68696	2515	-87211	12889	-2570	-43516	-72765	-55907	-65436	-55360	-47496	-76294	56	-38146	5180	-40836	-36009	-89097	-64916	-81336	-59663	-67641	-14478	-54780	-44472	-61536	-10506	-31946	-65382	-47420	-46620	-43145	-88377	-54047	-40341	-75889	-32660	-55065	-8091	-64065	-32322	19222	-86	-39349	-41346	845	-64374	-60042	-83590	-59939	-55080	-20331	-77766	-104277	-80270	-35500	-39971	-62167	-28166	-39265	-58593	-5984	-41651	-5841	-50970	-72837	-52177	-53503	-12666	7868	18794	-51942	-54186	-5645	-70353	-98855	-16822	-7829	-39207	-3529	-33191	871	-38553	-59671	-58282	-51799	-19931	-95650	-288	-46358	-38024	-39304	-95159	2362	-3986	-38166	-68110	-39470	-100223	1341	-36626	-70393	-14182	-22811	-33733	-70672	-21785	8315	-6414	-16721	-57338	18881	-86157	-6641	-99008
-60387	-31083	-120689	-24773	-144321	-117208	4602	-148639	22191	-4079	-72765	-124918	-95636	-111571	-95768	-81362	-129608	265	-64661	8815	-69780	-61156	-152747	-110819	-139423	-102469	-115202	-24513	-93266	-75875	-104360	-17275	-54262	-112247	-81120	-80012	-73491	-151511	-92619	-68676	-129724	-55961	-94313	-13376	-109612	-55387	33312	136	-66767	-70393	934	-109789	-103644	-142607	-102455	-93868	-34688	-131948	-179174	-137990	-60078	-68224	-106305	-48469	-67269	-100287	-9927	-71092	-9231	-87437	-124389	-88828	-92029	-21314	14064	32688	-89415	-92643	-9844	-120191	-169004	-29419	-13671	-66004	-4893	-57055	1237	-66325	-102162	-100550	-88231	-34033	-163695	-683	-79861	-64745	-67777	-162585	3730	-6924	-65384	-115315	-68685	-171205	2126	-62697	-119889	-23657	-39384	-57603	-120528	-37178	15452	-10901	-28728	-97900	32809	-147696	-10530	-169099
-46296	-23752	-92445	-19013	-110644	-89903	3532	-114139	16985	-3079	-55907	-95636	-73424	-85612	-73292	-62285	-99418	313	-49576	6711	-53519	-46973	-117110	-84966	-106865	-78586	-88276	-18713	-71593	-58080	-80239	-13354	-41625	-86106	-62097	-61415	-56479	-115922	-71039	-52698	-99461	-42853	-72191	-10379	-84036	-42359	25504	55	-51214	-53875	733	-84226	-79386	-109403	-78550	-71932	-26695	-101215	-137274	-105610	-46078	-52349	-81380	-37162	-51506	-76968	-7634	-54589	-7109	-67054	-95363	-68120	-70494	-16351	10725	24976	-68375	-70933	-7559	-92241	-129609	-22359	-10472	-50801	-3813	-43903	952	-50831	-78263	-77035	-67733	-26205	-125489	-458	-61068	-49627	-51877	-124562	2981	-5308	-50257	-88567	-52609	-131226	1697	-48031	-91931	-18088	-30283	-44332	-92437	-28443	11650	-8416	-21934	-75015	25062	-113136	-8190	-129654
-54052	-27690	-107861	-22221	-129138	-105013	4109	-133303	19776	-3620	-65436	-111571	-85612	-100028	-85422	-72709	-116154	365	-57970	7846	-62444	-54882	-136663	-99145	-124724	-91670	-103118	-21925	-83642	-67796	-93774	-15653	-48621	-100448	-72484	-71644	-65944	-135340	-82886	-61521	-116092	-50062	-84313	-12095	-98058	-49487	29675	55	-59865	-62924	926	-98295	-92547	-127718	-91746	-83969	-31128	-118287	-160116	-123222	-53874	-61091	-95045	-43330	-60086	-89787	-8912	-63743	-8428	-78225	-111362	-79579	-82243	-19094	12445	29086	-79778	-82826	-8791	-107609	-151270	-26045	-12167	-59413	-4620	-51146	1174	-59267	-91379	-89776	-79089	-30590	-146465	-537	-71205	-57942	-60499	-145427	3475	-6145	-58588	-103581	-61257	-153224	2017	-56023	-107395	-21197	-35283	-51757	-107930	-33201	13472	-9791	-25590	-87557	29201	-132018	-9682	-151362
-46249	-23836	-92539	-18922	-110547	-89756	3598	-113792	17039	-3036	-55360	-95768	-73292	-85422	-73638	-62336	-99096	274	-49382	6728	-53443	-46751	-117127	-84855	-106897	-78623	-88113	-18682	-71347	-58035	-79783	-13064	-41457	-86123	-62148	-61389	-56278	-116097	-71032	-52544	-99353	-42904	-72275	-10148	-83967	-42458	25645	181	-51051	-53810	578	-84037	-79632	-109162	-78482	-71815	-26576	-100815	-137486	-105835	-45875	-52246	-81394	-37233	-51534	-76877	-7502	-54460	-6884	-67073	-95234	-67923	-70621	-16245	10927	25170	-68604	-70965	-7575	-92084	-129499	-22619	-10546	-50347	-3474	-43818	904	-50911	-78269	-77213	-67507	-26054	-125447	-550	-61305	-49549	-52035	-124504	2818	-5330	-50142	-88101	-52918	-131119	1631	-48038	-91713	-17979	-30335	-44151	-92264	-28464	12133	-8334	-22007	-74965	25255	-113208	-7865	-129489
-39370	-20215	-78645	-16152	-94061	-76398	2994	-96867	14400	-2681	-47496	-81362	-62285	-72709	-62336	-53064	-84501	170	-42179	5763	-45472	-39901	-99506	-72192	-90821	-66736	-75137	-16012	-60817	-49445	-68043	-11320	-35416	-73083	-52833	-52112	-47893	-98764	-60324	-44747	-84533	-36471	-61466	-8727	-71425	-36068	21635	66	-43539	-45896	650	-71544	-67463	-92938	-66806	-61178	-22613	-86032	-116672	-89919	-39197	-44455	-69294	-31529	-43844	-65328	-6506	-46302	-6093	-56936	-81094	-57941	-59921	-13885	9123	21250	-58238	-60371	-6418	-78282	-110061	-19203	-8878	-43083	-3254	-37136	815	-43176	-66605	-65486	-57522	-22225	-106660	-464	-51988	-42150	-44177	-105952	2420	-4491	-42565	-75203	-44677	-111562	1371	-40829	-78177	-15450	-25598	-37525	-78523	-24216	9958	-7121	-18722	-63794	21339	-96223	-6947	-110205
-62796	-32198	-125265	-25863	-150033	-121979	4689	-154798	22966	-4330	-76294	-129608	-99418	-116154	-99096	-84501	-135104	284	-67446	9164	-72552	-63813	-158637	-115260	-144814	-106373	-119938	-25533	-97181	-78878	-108933	-18283	-56578	-116529	-84244	-83110	-76581	-157275	-96217	-71518	-134883	-58135	-97941	-14121	-113925	-57476	34421	2	-69629	-73239	1165	-114255	-107346	-148385	-106575	-97661	-36155	-137574	-185870	-143105	-62700	-70988	-110460	-50253	-69843	-104273	-10454	-73985	-9914	-90786	-129393	-92528	-95430	-22271	14363	33722	-92653	-96260	-10177	-125005	-175686	-30282	-14080	-69121	-5550	-59266	1375	-68786	-106141	-104183	-91893	-35485	-170112	-612	-82714	-67370	-70240	-169032	4033	-7149	-67966	-120394	-70934	-178010	2305	-65117	-124866	-24777	-40837	-60003	-125409	-38625	15477	-11389	-29766	-101793	33849	-153339	-11331	-175875
162	-33	296	33	397	343	-103	554	23	-117	56	265	313	365	274	170	284	-216	117	20	182	261	461	219	414	381	211	-29	365	51	462	96	156	421	63	361	297	252	289	174	351	144	165	93	304	27	-62	24	116	28	57	279	330	395	336	110	191	271	434	312	80	188	200	126	116	370	22	252	-15	276	351	259	273	-22	-39	-47	140	118	97	334	416	13	36	266	-64	353	37	198	245	375	304	290	431	-20	86	47	210	304	-53	9	311	351	307	374	-45	86	340	-124	224	361	285	-36	49	82	-8	141	-38	330	94	439
-31353	-16050	-62495	-12912	-74866	-60869	2322	-77234	11441	-2181	-38146	-64661	-49576	-57970	-49382	-42179	-67446	117	-33708	4578	-36199	-31864	-79124	-57505	-72238	-53035	-59897	-12781	-48508	-39383	-54372	-9159	-28265	-58095	-42029	-41434	-38196	-78506	-47974	-35680	-67316	-29007	-48872	-7048	-56846	-28690	17124	-16	-34769	-36578	619	-57014	-53502	-74056	-53186	-48764	-18023	-68708	-92680	-71400	-31327	-35417	-55143	-25041	-34853	-52003	-5240	-36901	-5004	-45259	-64595	-46213	-47584	-11127	7133	16788	-46222	-48042	-5070	-62343	-87635	-15124	-7005	-34527	-2832	-29521	694	-34283	-52988	-51937	-45860	-17717	-84864	-319	-41242	-33614	-35042	-84353	2000	-3548	-33877	-60125	-35316	-88829	1137	-32490	-62337	-12402	-20307	-29915	-62584	-19273	7655	-5682	-14870	-50799	16867	-76502	-5710	-87767
4247	2213	8515	1750	10182	8260	-323	10450	-1550	322	5180	8815	6711	7846	6728	5763	9164	20	4578	-660	4916	4300	10745	7814	9800	7193	8154	1780	6583	5398	7334	1230	3844	7873	5745	5604	5137	10745	6503	4859	9131	3946	6689	928	7721	3913	-2332	-13	4708	5017	-105	7730	7275	10053	7223	6630	2424	9346	12601	9748	4251	4792	7544	3383	4770	7024	720	4993	680	6149	8769	6280	6487	1512	-958	-2308	6330	6550	690	8441	11884	2113	947	4645	389	3945	-100	4669	7204	7071	6227	2368	11530	61	5642	4577	4766	11494	-234	486	4555	8135	4790	12087	-130	4416	8488	1707	2712	4008	8499	2646	-1076	749	2045	6915	-2312	10427	755	11925
