-22	280	206	258	282	85	239	164	290	181	227	269	338	262	280	183	264	201	214	177	21	788	582	1785	5276	16384	49519	49461	49439	49426	49462	49474	49396	49495	49479	147071	441511	111	-4269	-27	798	441471	-78	237	1254	2394	157167	58038	25260	14709	9936	3960	312	420	-1116	2112	3576	6528	6660	3708	-8928	-29484
227	-3977	-3027	-3696	-4006	-1748	-3402	-2859	-4148	-2967	-3734	-3825	-5218	-4148	-4492	-2502	-4156	-3169	-2965	-2745	-301	-12018	-8366	-25924	-76796	-237864	-720397	-719341	-718846	-718315	-719040	-719407	-718352	-720125	-718898	-2135796	-6412393	-1317	57282	489	-11940	-6411852	1509	-3525	-18927	-36306	-2289264	-849234	-373332	-219825	-150768	-59028	-4668	-6756	14472	-30816	-50856	-94872	-96192	-65376	132552	426816
269	-4784	-3914	-4515	-4874	-1515	-4422	-3046	-5137	-3037	-3825	-4632	-5813	-4712	-4948	-3200	-4413	-3389	-3661	-3003	-319	-13425	-9729	-29991	-88870	-275802	-833890	-832920	-832563	-832078	-832635	-833143	-831806	-833644	-832807	-2474945	-7430240	-1893	76143	435	-14136	-7429614	1335	-4071	-19584	-34218	-2620392	-952212	-400470	-222756	-142716	-60168	-4368	-6240	20112	-36084	-62472	-113952	-116676	-67176	150192	515484
338	-6080	-4804	-5687	-6134	-2276	-5398	-4082	-6399	-4141	-5218	-5813	-7728	-6120	-6503	-3917	-5927	-4536	-4605	-4003	-437	-17706	-12615	-38912	-115167	-357117	-1080629	-1079245	-1078670	-1077930	-1078835	-1079422	-1077742	-1080275	-1078867	-3205809	-9624685	-2253	91884	648	-17913	-9623838	2010	-5295	-26754	-49491	-3414900	-1253817	-539367	-309102	-205296	-82824	-6120	-8736	23988	-46092	-77580	-143496	-146412	-90900	197640	654372
262	-4849	-3969	-4628	-4969	-1753	-4505	-3319	-5224	-3319	-4148	-4712	-6120	-5068	-5232	-3171	-4679	-3556	-3646	-3194	-347	-14021	-9974	-30829	-91417	-283250	-857157	-856057	-855609	-855010	-855706	-856218	-854884	-856889	-855742	-2542778	-7634174	-1806	73119	492	-14655	-7633530	1548	-4308	-20541	-36582	-2697819	-983718	-417057	-234264	-152052	-62880	-3876	-6540	20064	-36648	-64104	-116832	-119484	-76824	154260	520236
280	-5198	-4162	-4845	-5263	-2006	-4650	-3607	-5507	-3567	-4492	-4948	-6503	-5232	-5710	-3345	-5110	-3937	-3933	-3367	-347	-15064	-10575	-32766	-97250	-301464	-912544	-911353	-910826	-910097	-910849	-911507	-910086	-912302	-910784	-2705829	-8123713	-1863	80790	555	-15387	-8123073	1689	-4404	-22257	-39825	-2875167	-1050915	-447801	-253392	-166116	-68364	-5568	-7812	20172	-39396	-65940	-123024	-124956	-78192	169452	563652
183	-3310	-2773	-3111	-3388	-937	-3123	-2044	-3558	-1981	-2502	-3200	-3917	-3171	-3345	-2292	-2928	-2281	-2576	-1996	-201	-9071	-6634	-20503	-60750	-188764	-570309	-569708	-569504	-569183	-569491	-569887	-568952	-570169	-569660	-1693024	-5082689	-1389	56193	264	-9798	-5082261	825	-2730	-12945	-21546	-1785330	-644310	-266697	-145215	-90540	-39612	-3336	-4140	14244	-25104	-43476	-79080	-81144	-42408	101844	361368
264	-4677	-3597	-4308	-4688	-1917	-3977	-3223	-4872	-3325	-4156	-4413	-5927	-4679	-5110	-2928	-4762	-3637	-3497	-3104	-336	-13746	-9678	-29917	-88572	-274588	-831306	-830189	-829660	-829041	-829817	-830269	-829036	-831022	-829724	-2465153	-7401089	-1602	68790	546	-13644	-7400487	1602	-4011	-21354	-40407	-2635938	-973944	-424575	-247518	-167784	-66444	-5436	-7572	17196	-35496	-58248	-109356	-110772	-70848	154872	499932
201	-3595	-2784	-3268	-3604	-1472	-3042	-2471	-3737	-2542	-3169	-3389	-4536	-3556	-3937	-2281	-3637	-2836	-2706	-2351	-244	-10532	-7393	-22942	-67901	-210661	-637658	-636794	-636390	-635893	-636486	-636864	-635921	-637448	-636388	-1890641	-5676240	-1233	55359	408	-10536	-5675784	1215	-3012	-16386	-30585	-2020503	-745830	-324363	-188634	-127572	-50976	-4860	-6108	12876	-27660	-44640	-84360	-85320	-51876	119556	390096
214	-3939	-3246	-3648	-3990	-1160	-3634	-2408	-4170	-2324	-2965	-3661	-4605	-3646	-3933	-2576	-3497	-2706	-3110	-2359	-232	-10789	-7875	-24208	-71591	-222537	-672694	-671991	-671760	-671311	-671651	-672225	-671070	-672569	-671852	-1996512	-5993881	-1665	67950	300	-11052	-5993382	966	-3207	-14661	-24474	-2100081	-754389	-309222	-166053	-101424	-44268	-3648	-4032	16824	-28452	-47508	-89604	-91512	-45756	127296	437508
177	-3131	-2434	-2957	-3160	-1203	-2770	-2120	-3296	-2187	-2745	-3003	-4003	-3194	-3367	-1996	-3104	-2351	-2359	-2122	-234	-9232	-6595	-20291	-60043	-186055	-563100	-562353	-562043	-561696	-562176	-562453	-561588	-562897	-562192	-1670624	-5015683	-1161	45345	342	-9378	-5015241	1074	-2814	-14007	-26103	-1780617	-654450	-282225	-162174	-108000	-43296	-2736	-4416	12528	-23712	-40188	-74352	-75852	-49356	102816	336096
