1855	-95331	-115479	-169079	-155952	-123087	-132907	-81118	-145509	-151226	-145108	-144206	-117003	-126639	-105654	-151035	-135825	-160639	-176008	-162470	-115857	-117122	-111942	-2357	87989	-31150	141001	45894	-102586	-37460	-47206	-56197	60234	74477	27309	-41874	84315	169703	241493	492669	605790	-6829	-4015204	-23945931	-23922449	-110694638	-475802522	-1968537057	-8001642007	-32264646663	-129573850191	-129573835749	-129573831230	-129573858612	-129573845566	-97309165122	-89307524298	-87339055458	-86863210502	-86752523604	-86728608406	-86724605320	-86725879858	-346903899898	-1387614623616	-1387615229548	1265352	1345256	-554536	-519488	432496	-5550459943432	-8	1265352	1344944	-554944	-722024	20583392	-1387614712160	-99856	973296	320992	-444288	97632	1112792	-346903265600	54584	228952	-219112	112824	601448	203136	-86725844648	-21681074360	-5420846776	-1354279032	-338485568	-85456312	1373616	-21457152	930680	927520	926024	927432	928672	931440	-5115952	930280	7711280	924856	924920	14536088	914712	4337680	32766416	39965344	-10757728	-5792992	4414176	46285280	-28174496	-11059456	-23103840	5459680	-15502720	-36930432	1595456	-22766912
1853	-95261	-115350	-168772	-155910	-122647	-132637	-81845	-145499	-151558	-144206	-144192	-116933	-126846	-106044	-150670	-135402	-159821	-175357	-162033	-115784	-116907	-112660	-2395	88191	-30270	142807	49487	-96251	-25118	-34808	-44212	72632	100121	78480	60240	287922	373566	647771	1306940	2233580	3246782	2490580	-10944462	-10921666	-84716715	-423924725	-1865053357	-7795687769	-31856635134	-128773111294	-128773096495	-128773091800	-128773119307	-128773106088	-96916437514	-89120751188	-87255765380	-86831798306	-86747089712	-86736175372	-86738678074	-86746054198	-346984193408	-1387933349382	-1387935583080	1262896	1340888	-551160	-521432	431320	-5551741362480	40	1262904	1340600	-551504	-762584	20399696	-1387935884880	-101248	968160	318416	-448712	96840	1109088	-346983964136	50768	228704	-216952	108760	599984	198216	-86746224544	-21686270184	-5422196224	-1354643032	-338588048	-85488104	1370432	-21468368	922848	919632	918056	919480	920664	923448	-5127112	922424	7652160	916880	916864	14384400	906488	4385512	32590304	39886864	-10705312	-5620864	4479360	46137760	-28116448	-11054944	-23104704	5367616	-15481472	-36701376	1619200	-22804544
1500	-78048	-94315	-137136	-127869	-99942	-108956	-68011	-118332	-124649	-117003	-116933	-96118	-105121	-88680	-122841	-110686	-129549	-142249	-132292	-95270	-95391	-94803	-1969	73467	-22071	122348	50897	-59966	17940	10246	1532	99241	161237	219961	364176	862004	934151	1785026	3581785	6849673	12693330	22111036	31182152	31199764	10964387	-186223847	-1204298502	-5733120121	-24766282410	-102730789911	-102730778159	-102730773586	-102730795480	-102730784084	-77964474556	-72231356268	-71027114204	-70840855562	-70851827366	-70883032706	-70905154226	-70930012970	-283718797480	-1134864835960	-1134871685702	1040040	1097832	-446096	-432360	355824	-4539485951776	56	1040104	1097648	-446352	-712272	16375536	-1134874448376	-79208	790464	258344	-374840	82496	903704	-283719850600	34320	190456	-169032	84408	495064	153696	-70930785776	-17732773080	-4433864992	-1107801912	-276925448	-69940808	1126592	-17574736	745080	742400	740968	741984	742816	745144	-4214928	744792	6171648	740024	739776	11504360	731352	3726600	26436816	32673920	-8691840	-4210112	3837472	37631744	-23057760	-9124640	-19061024	4188128	-12748480	-29776192	1379456	-18898240
1605	-85781	-103142	-148845	-139882	-109064	-119893	-77223	-128042	-136974	-126639	-126846	-105121	-117938	-99988	-134088	-121654	-139994	-153647	-143496	-105066	-103596	-108382	-2172	82895	-18224	145606	78037	-23843	105499	97481	85626	196768	351246	584130	1089545	2320582	2402380	4714588	9442164	18536371	35964966	68363030	122514484	122532289	189103984	151827607	-600728409	-4815333535	-24087299383	-105996891934	-105996879066	-105996872796	-105996896538	-105996883086	-81909554304	-77094223876	-76493558358	-76645347196	-76834460626	-76956998862	-77025374168	-77093972302	-308371800560	-1233459272070	-1233477808490	1151744	1202000	-477264	-484512	396600	-4933910370968	80	1151816	1201888	-477472	-945104	17249416	-1233486357440	-76664	861320	283256	-422856	96328	981080	-308375680960	26952	217432	-161320	86272	551768	148584	-77096210696	-19274814888	-4819782376	-1204390384	-301143096	-76103360	1244056	-19146248	795112	791984	790120	791128	791816	794472	-4627648	794856	6560752	789168	788480	12031816	779624	4335960	28403776	35734864	-9351328	-3835392	4501888	40783520	-25326368	-10182976	-21154880	4133024	-14152704	-32052736	1605440	-21138304
1353	-72353	-86810	-124841	-118014	-91457	-101199	-65836	-107243	-115827	-105654	-106044	-88680	-99988	-85686	-112635	-102207	-116834	-128568	-120502	-88823	-87080	-92994	-1848	70704	-13559	126399	72935	-7313	114959	108401	97741	192675	349784	598207	1132063	2380908	2451215	4824605	9662317	19029704	37121206	71236694	130491223	130505616	213861590	237015860	-287747535	-3619372215	-19414892090	-87530152360	-87530141638	-87530135943	-87530155690	-87530143950	-68115227218	-64495857972	-64208164156	-64445147330	-64659017214	-64789527694	-64860775008	-64931360634	-259721156860	-1038855963772	-1038874993492	973168	1011656	-398000	-412184	335480	-4155499250272	88	973272	1011632	-398152	-860680	14283512	-1038883907064	-62856	723432	236544	-362456	83160	822704	-259725270128	17552	184704	-130328	68368	467056	118616	-64933676536	-16234272536	-4059584032	-1014480928	-253682128	-64123512	1049696	-16139616	661328	658664	657016	657744	658280	660544	-3914096	661128	5453576	656192	655488	9928640	647968	3747872	23731520	30092208	-7821632	-2951232	3914048	34230624	-21340928	-8621792	-17910144	3335392	-11956736	-26770368	1392192	-17955712
1939	-100484	-121515	-177560	-163873	-129102	-140081	-86619	-152084	-159425	-151035	-150670	-122841	-134088	-112635	-159174	-142765	-167633	-184174	-170115	-122128	-123160	-119666	-2438	93753	-30214	153557	58295	-89920	-2280	-12350	-22746	101461	154495	178717	257392	688953	780192	1456165	2924404	5448253	9612588	15028926	13359645	13384107	-39124540	-344949177	-1755807178	-7771703005	-32586574532	-133343963990	-133343948600	-133343943494	-133343972567	-133343958126	-100757348046	-92985646444	-91229911880	-90884917736	-90845801658	-90859193516	-90874235412	-90893613676	-363573669900	-1454286419394	-1454291867730	1335304	1415280	-579088	-551928	457584	-5817166448592	48	1335376	1415056	-579400	-836344	21346344	-1454293732680	-103728	1023304	338072	-476448	104224	1165848	-363574191496	52968	242568	-221168	111888	637208	202816	-90894182432	-22723435064	-5681618608	-1419498248	-354817824	-89601808	1446936	-22508568	968536	965120	963416	964800	966120	969080	-5383664	968032	8015968	962160	962120	15031552	951912	4677272	34229280	42005936	-11257216	-5780416	4759648	48484192	-29658912	-11726080	-24429504	5559040	-16381248	-38576064	1726336	-24137280
1726	-90655	-109251	-159405	-147581	-116201	-126151	-78857	-136560	-143704	-135825	-135402	-110686	-121654	-102207	-142765	-129202	-150409	-165372	-152635	-110070	-110425	-109187	-2250	85123	-25063	141965	59964	-66370	27580	18471	8594	121735	199189	278683	468727	1092893	1175971	2258774	4528122	8694344	16231646	28694540	42387638	42409022	25654276	-188127189	-1333087494	-6490145019	-28278353772	-117746564799	-117746551064	-117746546013	-117746571949	-117746558828	-89468173136	-82978029892	-81645008024	-81456840066	-81482502546	-81524918320	-81553624886	-81585279548	-326339481836	-1305344792820	-1305353487284	1206112	1272600	-518560	-500344	413272	-5221413030312	16	1206080	1272376	-518912	-809080	18963200	-1305357063352	-89920	918920	303496	-432928	96000	1046288	-326340887752	43544	220440	-190360	98032	575528	174848	-81586271840	-20396701760	-5099976704	-1274238776	-318533728	-80455168	1304824	-20218696	863616	860496	858872	860160	861200	863888	-4848368	863208	7142728	857824	857616	13327456	848112	4293352	30602240	37773520	-10070592	-4930368	4384320	43457472	-26722592	-10627712	-22083712	4834528	-14820416	-34515840	1578304	-21872768
2055	-105649	-128075	-187656	-172792	-136446	-147270	-89710	-161313	-167631	-160639	-159821	-129549	-139994	-116834	-167633	-150409	-178202	-195282	-180107	-128350	-130026	-123584	-2600	97350	-35151	155202	48694	-118076	-50315	-61197	-70862	57723	64816	-4457	-116622	-46480	47847	-13257	-15320	-450956	-2251984	-8941932	-35534678	-35508283	-140726878	-563648459	-2255307316	-9019203042	-36076289288	-144303335594	-144303319449	-144303314644	-144303345232	-144303330768	-108227003998	-99207801988	-96952570256	-96388874734	-96248156226	-96212656112	-96203727442	-96200931636	-384804424148	-1539218301978	-1539217851162	1401144	1491568	-616176	-574936	478552	-6156870324280	8	1401168	1491232	-616592	-784416	22887800	-1539216716232	-112784	1079888	356160	-492320	107216	1234384	-384803443464	61888	252312	-245352	124384	665896	226656	-96200750632	-24049689952	-6013029232	-1502205648	-375450576	-94784448	1520904	-23797096	1033600	1030096	1028456	1030016	1031464	1034520	-5670744	1033080	8566864	1027104	1027248	16169600	1016008	4782552	36382336	44307904	-11948864	-6512288	4855680	51349888	-31227776	-12247968	-25588768	6103200	-17169280	-40993152	1762624	-25196544
2229	-116304	-140970	-206849	-190437	-149725	-161601	-98486	-177463	-184718	-176008	-175357	-142249	-153647	-128568	-184174	-165372	-195282	-215506	-197928	-140776	-142904	-135789	-2862	106935	-38266	170746	54580	-128054	-52792	-64404	-74861	66206	77999	8641	-100826	2627	106593	91037	196582	-67626	-1616889	-8099683	-35557742	-35528461	-147500077	-604450228	-2445846642	-9835670296	-39451081879	-158020194923	-158020177427	-158020172125	-158020205825	-158020189832	-118569066574	-108733397166	-106287634086	-105683132188	-105535641000	-105500121488	-105492036444	-105490568820	-421962935164	-1687851763002	-1687851695476	1534784	1635456	-676760	-631240	524392	-6751405598536	120	1534880	1635184	-677168	-878408	25042456	-1687850665344	-126632	1184656	390784	-544864	116264	1352392	-421961965024	67064	274800	-269632	130736	729304	244416	-105490424744	-26372087960	-6593702544	-1647279408	-411712624	-103942904	1665416	-26098408	1129872	1126064	1124328	1126136	1127720	1131032	-6223016	1129264	9368192	1122872	1123072	17683896	1110576	5264688	39858704	48580128	-13102336	-7103616	5339552	56278016	-34241696	-13457120	-28088928	6673056	-18833664	-44854400	1948352	-27640576
2074	-107502	-130423	-190304	-176569	-138249	-150135	-91965	-164057	-171599	-162470	-162033	-132292	-143496	-120502	-170115	-152635	-180107	-197928	-183638	-131004	-132129	-127893	-2665	100016	-33753	162118	57459	-106309	-23379	-33991	-44781	87596	124243	110442	114239	415379	513208	912306	1839341	3248679	5115887	5710630	-6568133	-6542295	-84097809	-455629532	-2060117627	-8711982374	-35794209714	-145067900520	-145067884518	-145067878970	-145067909455	-145067894240	-109273646662	-100561665956	-98501626076	-98045948770	-97961860032	-97955325696	-97961050238	-97972098558	-391888188898	-1567547796416	-1567551045180	1428344	1516584	-621416	-588704	488792	-6270203085248	96	1428472	1516336	-621792	-874912	23013584	-1567551749888	-113168	1095424	359768	-507376	110672	1252048	-391888108616	56400	259080	-245168	122104	679544	224584	-97972380840	-24492819632	-6123938168	-1529970992	-382416600	-96558272	1549896	-24250528	1042320	1038728	1036960	1038432	1039744	1042872	-5793480	1041872	8636640	1035616	1035584	16220272	1024048	4980800	36805472	45091472	-12092320	-6294752	5091648	52148992	-31772032	-12489152	-26131744	6052736	-17491456	-41440768	1848704	-25803968
