-29	464	602	794	612	715	258	718	690	747	767	738	551	655	662	697	809	841	496	524	641	483	480	390	20	4231	3728	28659	199795	1403019	9817240	68724508	68723924	481067245	3367469438	23572287284	165006010771	1155042076953	1155042077341	1155042077397	1155042077425	1155042077212	1155042077120	1155042077398	1155042077282	1155042077141	1155042077317	1155042077150	5936	1155042077231	5138	3822	7336	5887	7581	165006012437	5446	4060	4963	4557	5936	23572288796	1645	2989	2254	4312	3766	3367472374	481068455	68724929	9821497	1403381	10129	204582	10150	10171	10171	10150	10115	32634	10150	10178	10178	10150	10136	51954	51842	244559	324086	251174	242256
767	-19657	-26083	-33201	-26604	-31001	-10194	-30616	-29364	-30844	-32414	-31139	-22656	-27289	-28368	-29533	-33439	-35830	-20688	-22804	-26480	-20900	-20143	-17269	-796	-175794	-154637	-1197887	-8341915	-58585428	-409931060	-2869681369	-2869656637	-20087589986	-140613070803	-984291550747	-6890040842572	-48230285967814	-48230285982709	-48230285984189	-48230285985725	-48230285977306	-48230285972522	-48230285985346	-48230285980728	-48230285974936	-48230285981903	-48230285975275	-246239	-48230285976579	-215019	-158179	-309736	-249053	-316337	-6890040915079	-231210	-164976	-209769	-191653	-246393	-984291612661	-66031	-124054	-94717	-175672	-152243	-140613195100	-20087638746	-2869699595	-410113543	-58600906	-427784	-8548533	-428771	-429688	-429772	-429009	-427917	-1361227	-428799	-429716	-429814	-428974	-428330	-2184133	-2179520	-10467233	-13869646	-10732715	-10334688
738	-19012	-25196	-32068	-25584	-29895	-10046	-29402	-28387	-29673	-31139	-30242	-22044	-26482	-27335	-28392	-32216	-34523	-20138	-22144	-25780	-20281	-19647	-16787	-795	-171200	-150668	-1166699	-8125188	-57063014	-399278587	-2795109708	-2795085727	-19565593530	-136959097462	-958713735710	-6710996137946	-46976973033384	-46976973048017	-46976973049432	-46976973050947	-46976973042643	-46976973038042	-46976973050400	-46976973045901	-46976973040332	-46976973047210	-46976973040722	-239834	-46976973042034	-209195	-153916	-301371	-242634	-308140	-6710996208371	-224966	-160860	-204365	-186739	-239953	-958713796208	-64624	-121184	-92400	-171521	-148344	-136959218557	-19565641193	-2795127482	-399456253	-57078091	-416311	-8326129	-417340	-418194	-418306	-417508	-416479	-1325933	-417340	-418243	-418292	-417494	-416899	-2125802	-2121210	-10176173	-13488377	-10436020	-10050390
551	-13889	-18387	-23433	-18565	-21672	-7339	-21422	-20669	-21694	-22656	-22044	-16194	-19285	-19857	-20645	-23543	-25078	-14655	-15977	-18736	-14667	-14282	-12097	-591	-124413	-109535	-847423	-5902566	-41452981	-290053263	-2030488344	-2030470979	-14213291683	-99493000850	-696451044342	-4875157302087	-34126101163471	-34126101174233	-34126101175298	-34126101176393	-34126101170280	-34126101167028	-34126101175861	-34126101172550	-34126101168571	-34126101173598	-34126101168862	-174454	-34126101169979	-151928	-111993	-218617	-176162	-223916	-4875157353031	-163191	-117369	-148358	-135765	-174517	-696451088578	-47411	-88319	-67165	-125223	-108248	-99493088744	-14213326673	-2030501270	-290181899	-41463947	-302036	-6047958	-302827	-303429	-303506	-302897	-302155	-963424	-302813	-303485	-303499	-302904	-302491	-1543619	-1540217	-7368816	-9767905	-7557221	-7279587
655	-16698	-21796	-28108	-22350	-26388	-9663	-25059	-25139	-25758	-27289	-26482	-19285	-23956	-24207	-25245	-27827	-30728	-18405	-20596	-23648	-18546	-17802	-15733	-697	-156663	-137609	-1066698	-7427668	-52165077	-365006320	-2555190775	-2555168845	-17886177668	-125203190272	-876422381485	-6134956658619	-42944696671802	-42944696684787	-42944696685919	-42944696686967	-42944696679949	-42944696675684	-42944696686962	-42944696683283	-42944696678268	-42944696684347	-42944696678583	-218477	-42944696678849	-191436	-139587	-276199	-221179	-281736	-6134956721901	-205744	-145138	-186746	-168826	-218575	-876422434692	-56994	-109690	-84434	-154343	-134281	-125203299326	-17886219057	-2555206675	-365169154	-52178735	-380898	-7611576	-381528	-382403	-382627	-382053	-381094	-1211385	-381549	-382410	-382648	-382018	-381192	-1943760	-1939616	-9343173	-12393766	-9593073	-9240077
662	-17249	-22741	-29047	-23320	-27297	-9217	-26595	-25857	-26925	-28368	-27335	-19857	-24207	-25086	-26029	-29131	-31597	-18428	-20506	-23635	-18692	-17980	-15585	-691	-157038	-138031	-1069965	-7450135	-52323073	-366111700	-2562928931	-2562906862	-17940342736	-125582345664	-879076469381	-6153535273995	-43074746980604	-43074746993637	-43074746994847	-43074746996141	-43074746988828	-43074746984481	-43074746996055	-43074746992141	-43074746986970	-43074746993110	-43074746987265	-219338	-43074746987909	-191765	-140602	-276766	-222383	-282401	-6153535338671	-206535	-146349	-187348	-170653	-219478	-879076524144	-58198	-110432	-84539	-155918	-134988	-125582456426	-17940385708	-2562945161	-366275280	-52336816	-382277	-7635103	-383047	-383887	-384034	-383383	-382431	-1215326	-383075	-383915	-384062	-383369	-382690	-1949444	-1945398	-9373553	-12424293	-9613604	-9256737
697	-17912	-23530	-30350	-24409	-28353	-9704	-27689	-27006	-27997	-29533	-28392	-20645	-25245	-26029	-27386	-30451	-32950	-19284	-21576	-24827	-19503	-18766	-16368	-693	-164453	-144376	-1118847	-7790803	-54715750	-382853523	-2680128495	-2680105346	-18760732087	-131325068859	-919275534038	-6434928725789	-45044501145882	-45044501159343	-45044501160584	-45044501161838	-45044501154337	-45044501149758	-45044501162051	-45044501157988	-45044501152638	-45044501158974	-45044501152931	-229390	-45044501153190	-200592	-146713	-289555	-232029	-295589	-6434928793083	-215761	-152775	-195678	-177576	-229544	-919275590653	-60242	-115164	-88165	-162680	-141183	-131325183892	-18760776657	-2680145251	-383024474	-54729976	-399959	-7984109	-400659	-401513	-401709	-401093	-400057	-1271074	-400687	-401597	-401786	-401072	-400295	-2038939	-2034872	-9816513	-13013959	-10073616	-9702980
809	-20299	-27104	-34524	-27483	-31948	-10056	-32206	-30178	-32220	-33439	-32216	-23543	-27827	-29131	-30451	-35194	-36653	-20995	-22872	-26938	-21170	-20541	-17092	-792	-178517	-157174	-1215592	-8466936	-59462611	-416069683	-2912653264	-2912628134	-20388388654	-142718662093	-999030689716	-6993214815543	-48952503780158	-48952503795554	-48952503797225	-48952503799036	-48952503790060	-48952503785177	-48952503798343	-48952503793213	-48952503787349	-48952503794538	-48952503787782	-250985	-48952503789721	-218155	-161756	-313523	-252560	-321160	-6993214890116	-234122	-169554	-212275	-195475	-251146	-999030754106	-68593	-126455	-95473	-180635	-156394	-142718789066	-20388440058	-2912671881	-416254013	-59478202	-433685	-8675919	-434889	-435715	-435736	-434861	-433748	-1382430	-434903	-435841	-435806	-434882	-434336	-2216410	-2211909	-10583167	-14009786	-10843945	-10444350
841	-21810	-28585	-36696	-29462	-34458	-12066	-33373	-32821	-33838	-35830	-34523	-25078	-30728	-31597	-32950	-36653	-40258	-23593	-26227	-30179	-23771	-22912	-20033	-895	-200429	-176169	-1365763	-9510177	-66790553	-467342814	-3271587287	-3271559244	-22900908245	-160306289579	-1122144090398	-7855008618434	-54985060407880	-54985060424466	-54985060425966	-54985060427440	-54985060418251	-54985060412842	-54985060427301	-54985060422548	-54985060416070	-54985060423865	-54985060416487	-279699	-54985060417028	-244720	-178906	-353353	-283794	-360710	-7855008699734	-263557	-186242	-239309	-217182	-279846	-1122144159556	-73864	-141001	-108297	-198429	-171829	-160306430102	-22900962350	-3271607724	-467551301	-66808000	-487788	-9745596	-488663	-489748	-489986	-489216	-487991	-1551060	-488719	-489825	-490056	-489216	-488257	-2488640	-2483369	-11959724	-15862574	-12272393	-11819045
496	-12690	-16265	-21320	-16976	-20134	-7766	-18835	-19286	-19353	-20688	-20138	-14655	-18405	-18428	-19284	-20995	-23593	-14550	-16215	-18592	-14530	-14022	-12467	-539	-123280	-108268	-839506	-5845831	-41055392	-287270437	-2011008258	-2010991146	-14076934455	-98538499484	-689769535173	-4828386737660	-33798707211294	-33798707221327	-33798707222132	-33798707222865	-33798707217448	-33798707214151	-33798707222952	-33798707220276	-33798707216417	-33798707221134	-33798707216749	-171577	-33798707216498	-150367	-109347	-217280	-174139	-221900	-4828386786503	-161847	-113757	-147035	-132538	-171682	-689769576755	-44653	-86471	-66675	-121128	-105105	-98538584669	-14076966904	-2011020599	-287398328	-41066046	-299663	-5990033	-300090	-300769	-301014	-300594	-299859	-953022	-300111	-300839	-301035	-300615	-299852	-1529297	-1526056	-7354214	-9762760	-7553350	-7277284
524	-13895	-17773	-23364	-18897	-22297	-8789	-20468	-21413	-21091	-22804	-22144	-15977	-20596	-20506	-21576	-22872	-26227	-16215	-18694	-20984	-16459	-15701	-14367	-556	-138835	-121614	-944520	-6574726	-46176398	-323101153	-2261839093	-2261819688	-15832735420	-110829099147	-775803739128	-5430626162477	-38014383192091	-38014383202869	-38014383203602	-38014383204298	-38014383198651	-38014383194676	-38014383205066	-38014383202285	-38014383197860	-38014383202979	-38014383198140	-192094	-38014383196951	-168994	-121842	-245056	-195363	-249340	-5430626217891	-182154	-125972	-165179	-147637	-192248	-775803784357	-48132	-95991	-74438	-133959	-116620	-110829194455	-15832770352	-2261852901	-323246441	-46188191	-337925	-6738501	-338163	-338968	-339318	-338961	-338128	-1071399	-338191	-339010	-339360	-338940	-337960	-1719095	-1715686	-8343034	-11076793	-8574902	-8260665
