-1174	2444	1758	2474	-9948	12677	8715	13841	8040	10061	12207	14970	12951	13586	8516	11286	8714	9551	714	-25371	-41294	-51535	-154333	-436299	-1281155	-3858958	-3861377	-3862357	-3864157	-3863008	-3860740	-3864313	-3859174	-3865781	-11627326	-34893876	7215	-14700	74646	38490	-11564973	72228	10284	212799	123882	-3253104	-696456	175836	484650	513180	-25308	54660	-40740	-59292	-75372	447684	253344	377856	950832	333972	1778436
-1222	3401	2611	3467	-12574	16110	11584	17964	10920	13682	15951	20080	17018	18054	10994	15335	11834	12518	985	-32417	-51535	-65394	-195138	-551439	-1617313	-4870671	-4874095	-4875549	-4877964	-4876144	-4873387	-4878017	-4871083	-4880300	-14681951	-44061228	8502	-19251	98913	51144	-14598843	95505	16419	272256	171639	-4063056	-836157	266256	656766	678924	-21864	73272	-52200	-79404	-93960	576888	320388	489384	1247004	425340	2285064
-3765	9896	7433	10126	-37574	48023	34219	53331	32023	40186	47162	59106	50246	53344	32553	45072	34762	37066	2882	-96597	-154333	-195138	-583100	-1647833	-4834670	-14560076	-14569994	-14574187	-14581424	-14576260	-14567824	-14581608	-14561152	-14588138	-43884966	-131700483	25863	-57006	292377	150957	-43639437	282504	46761	809502	501432	-12179439	-2532666	761664	1928550	2005176	-71880	215760	-154956	-234180	-281064	1716276	957312	1454652	3694716	1269180	6803676
-10654	27971	20886	28568	-106184	135777	96549	150636	90332	113340	133146	166827	141868	150480	91937	127115	98078	104778	8109	-272970	-436299	-551439	-1647833	-4657298	-13664261	-41151443	-41179386	-41191157	-41211639	-41197159	-41173199	-41212168	-41154418	-41230540	-124031878	-372224247	73311	-160929	824592	425139	-123339564	796755	130581	2286405	1410789	-34442700	-7177788	2133078	5430636	5653416	-208800	609300	-438648	-661440	-794244	4850184	2706996	4111884	10432764	3588372	19219248
-32480	80103	59085	82534	-311135	396391	282309	439002	263494	330484	387818	485732	414149	439228	267682	370120	285524	304675	23522	-799176	-1281155	-1617313	-4834670	-13664261	-40101434	-120766781	-120848214	-120882734	-120943053	-120900956	-120830308	-120943689	-120775020	-120997876	-363982448	-1092322437	214989	-470439	2407707	1241295	-361960146	2326386	376176	6717720	4126464	-101103753	-21084951	6232716	15907704	16570020	-619584	1782480	-1272504	-1919508	-2319696	14158836	7907172	11992644	30421188	10493388	56128680
-97715	241791	178538	248593	-937276	1194734	849745	1322920	793117	994816	1168815	1463042	1247395	1322539	807107	1114364	859709	918277	70865	-2407175	-3858958	-4870671	-14560076	-41151443	-120766781	-363697106	-363942056	-364045677	-364226798	-364100398	-363887850	-364229590	-363722032	-364391852	-1096152846	-3289589136	648564	-1416675	7249956	3737958	-1090064943	7005393	1131072	20222574	12410781	-304532052	-63553419	18716835	47853876	49865448	-1878576	5363712	-3839412	-5784000	-6995820	42660048	23831232	36133056	91642140	31614624	169122600
-97781	241988	178778	248808	-937897	1195490	850500	1323905	793964	995872	1169785	1464426	1248495	1323730	807708	1115481	860573	918980	70948	-2408901	-3861377	-4874095	-14569994	-41179386	-120848214	-363942056	-364187390	-364291167	-364472390	-364345736	-364133157	-364475148	-363967102	-364637689	-1096893273	-3291811344	648693	-1417893	7256586	3741441	-1090799661	7011684	1133202	20239005	12426747	-304714656	-63573795	18752295	47909202	49914984	-1874952	5369220	-3841728	-5788860	-6999684	42691008	23845848	36159480	91716480	31636368	169245072
-97817	242024	178837	248902	-938147	1195709	850868	1324251	794375	996367	1170142	1465001	1248943	1324257	807912	1116010	860977	919211	70982	-2409611	-3862357	-4875549	-14574187	-41191157	-120882734	-364045677	-364291167	-364395068	-364576370	-364449566	-364236992	-364579031	-364070767	-364741788	-1097206836	-3292752372	648651	-1418433	7259535	3743085	-1091110572	7014471	1134276	20247153	12435171	-304786476	-63576783	18772809	47938134	49939800	-1872444	5371860	-3842196	-5790696	-7000824	42702216	23850204	36168840	91746108	31643604	169289352
-97769	242176	178845	249113	-938599	1196260	851380	1324888	794797	996898	1170627	1465741	1249542	1324986	808233	1116629	861474	919660	71007	-2410803	-3864157	-4877964	-14581424	-41211639	-120943053	-364226798	-364472390	-364576370	-364757936	-364631034	-364418239	-364760437	-364251843	-364923398	-1097753564	-3294392916	648927	-1419132	7263207	3744984	-1091653956	7018026	1134912	20257515	12441768	-304937469	-63607260	18783276	47963100	49965360	-1873428	5374704	-3843888	-5794068	-7003596	42722856	23861232	36187200	91792908	31657608	169365168
-97769	242021	178653	248954	-938281	1195937	850889	1324352	794195	996173	1170070	1464836	1248846	1324234	807925	1115853	860881	919320	70940	-2409874	-3863008	-4876144	-14576260	-41197159	-120900956	-364100398	-364345736	-364449566	-364631034	-364504394	-364291517	-364633623	-364125334	-364796328	-1097370494	-3293243160	649047	-1418406	7258857	3742542	-1091274744	7013901	1133016	20246829	12428598	-304858053	-63611637	18749991	47919456	49929456	-1878228	5371176	-3843108	-5791140	-7002048	42706896	23855256	36173772	91750212	31648140	169302960
-97774	241926	178718	248773	-937740	1195181	850443	1323621	793930	995806	1169562	1464249	1248334	1323576	807529	1115401	860503	918746	70944	-2408519	-3860740	-4873387	-14567824	-41173199	-120830308	-363887850	-364133157	-364236992	-364418239	-364291517	-364079040	-364420903	-363912901	-364583539	-1096730418	-3291322572	648438	-1417719	7255836	3741183	-1090637295	7010934	1133394	20237943	12428052	-304659258	-63554088	18759612	47912196	49914540	-1872816	5368872	-3840420	-5787684	-6997956	42682212	23839764	36151596	91700640	31628952	169210296
-97740	242349	179086	249126	-938668	1196568	851299	1325165	794733	996861	1170899	1465929	1249668	1324997	808464	1116634	861446	919901	71034	-2410945	-3864313	-4878017	-14581608	-41212168	-120943689	-364229590	-364475148	-364579031	-364760437	-364633623	-364420903	-364763242	-364254684	-364925917	-1097761152	-3294416034	649161	-1419159	7263507	3744975	-1091661720	7018362	1134891	20254536	12438924	-304949631	-63618447	18773166	47953314	49958700	-1874664	5374152	-3845508	-5795028	-7005552	42730308	23866968	36193608	91804392	31664196	169399296
-97723	241878	178692	248630	-937356	1194832	849870	1323118	793337	995088	1169061	1463396	1247663	1322781	807247	1114648	859919	918402	70904	-2407423	-3859174	-4871083	-14561152	-41154418	-120775020	-363722032	-363967102	-364070767	-364251843	-364125334	-363912901	-364254684	-363747054	-364416979	-1096228799	-3289817280	648480	-1416903	7251570	3738885	-1090139574	7006923	1132014	20225547	12416289	-304539117	-63544260	18731922	47871120	49878444	-1875756	5364864	-3839748	-5785032	-6996420	42665316	23832900	36137232	91656648	31617540	169145064
-97817	242324	179055	249264	-939025	1196811	851923	1325594	795421	997665	1171351	1466784	1250326	1325829	808694	1117459	862099	920196	71070	-2412010	-3865781	-4880300	-14588138	-41230540	-120997876	-364391852	-364637689	-364741788	-364923398	-364796328	-364583539	-364925917	-364416979	-365089080	-1098252721	-3295891101	649005	-1420017	7267953	3747444	-1092149109	7022508	1136490	20268162	12452580	-305060424	-63621075	18807219	48000492	49998936	-1870632	5378748	-3845712	-5797572	-7006404	42745128	23871576	36206208	91846980	31673592	169455456
-292772	730728	540546	751495	-2825048	3601663	2564533	3990436	2395061	3004067	3526171	4416542	3763528	3991517	2434294	3365281	2596329	2770709	214044	-7257583	-11627326	-14681951	-43884966	-124031878	-363982448	-1096152846	-1096893273	-1097206836	-1097753564	-1097370494	-1096730418	-1097761152	-1096228799	-1098252721	-3303751692	-9914664714	1951428	-4273965	21878622	11281461	-3285377166	21139569	3428817	60968988	37489575	-917600331	-191311413	56653536	144474654	150461952	-5608572	16190208	-11579256	-17463432	-21080640	128651700	71834832	108985356	276500088	95305284	509975028
-292824	731115	540941	751813	-2826056	3603041	2565479	3992026	2396019	3005274	3527626	4418369	3765016	3993059	2435292	3366657	2597370	2771831	214152	-7260210	-11631292	-14687076	-43900161	-124074749	-364107479	-1096529712	-1097270448	-1097584124	-1098130972	-1097747720	-1097107524	-1098138678	-1096605760	-1098630367	-3304888238	-9918075804	1952068	-4275580	21887264	11285971	-3286506582	21147916	3430756	60989775	37504916	-917909206	-191371066	56679578	144531096	150518352	-5608636	16196252	-11584028	-17470636	-21088704	128701056	71861828	109027296	276608484	95341044	510172740
31	-173	-80	-141	585	-821	-394	-825	-293	-389	-676	-712	-628	-658	-528	-482	-388	-600	-24	1425	2405	2834	8621	24437	71663	216188	216231	216217	216309	216349	216146	216387	216160	216335	650476	1952068	-636	725	-3457	-1725	647723	-3417	101	-9745	-2244	196798	53724	4847	-12388	-18580	4600	-2064	3088	3524	5264	-26648	-16724	-22848	-52620	-20100	-105012
