-13212	-23990	-32600	-20867	-33910	-1410	-84556	-83175	-85199	-87789	-86270	-72508	-80060	-81395	-83080	-89262	-93685	-69429	-72720	-78787	-69526	-68519	-63855	-37426	-513566	-478971	-3543771	-24734829	-173457777	-1213929645	-8497778039	-8497765173	-59484305870	-416390052981	-2914730474601	-20403113290483	-142821793148888	-142821793173633	-142821793175986	-142821793178380	-142821793164446	-142821793156965	-142821793177321	-142821793170043	-142821793160694	-142821793172318	-142821793161271	-404362	-20403113420564	-353059	-259287	-508830	-409997	-520212	-2914730562856	-379988	-270963	-345625	-315217	-404537	-416390248505	-109130	-205023	-156912	-289142	-249704	-59484425406	-8497806898	-1214230157	-173484031	-25074966	-702527	-3810779	-704186	-705684	-705894	-704550	-702835	-936929	-704193	-705726	-705852	-704529	-703549	-3587773	-3579597	-17162936	-22762166	-17604867	-16953657
-11054	-20150	-27312	-17477	-28357	-1206	-71012	-69893	-71656	-73742	-72508	-61094	-67299	-68353	-69769	-75025	-78676	-58382	-60989	-66179	-58348	-57590	-53601	-31545	-431493	-402546	-2977216	-20781483	-145732774	-1019899625	-7139523623	-7139513162	-49976549248	-349835771587	-2448850487700	-17141953387649	-119993673809955	-119993673830829	-119993673832832	-119993673834806	-119993673823063	-119993673816931	-119993673833762	-119993673827672	-119993673819913	-119993673829686	-119993673820391	-338982	-17141953496493	-295792	-217364	-426076	-343525	-435988	-2448850561752	-318213	-227472	-289618	-264243	-339101	-349835935267	-91917	-172158	-131677	-242844	-209608	-49976650045	-7139547814	-1020151013	-145754819	-21065842	-588252	-3201226	-589673	-590919	-591094	-589939	-588511	-785932	-589666	-590968	-591059	-589939	-589141	-3005590	-2998604	-14355579	-19041694	-14726068	-14182854
-12549	-21763	-30578	-19366	-31742	-1312	-77763	-77477	-78834	-81489	-80060	-67299	-75084	-75817	-77483	-82423	-87440	-65246	-68722	-74205	-65341	-64224	-60351	-34839	-483507	-450391	-3335439	-23278554	-163248570	-1142478557	-7997607396	-7997594658	-55983117355	-391881736761	-2743172256017	-19202205762442	-134415440445262	-134415440468359	-134415440470429	-134415440472356	-134415440459708	-134415440452563	-134415440471839	-134415440465381	-134415440456586	-134415440467411	-134415440457088	-383005	-19202205883581	-335300	-244958	-483658	-388542	-493808	-2743172338130	-360766	-255241	-328006	-297304	-383159	-391881920703	-101500	-193529	-148946	-271964	-235641	-55983227839	-7997634344	-1142764168	-163273390	-23602096	-667114	-3587584	-668374	-669893	-670215	-669095	-667450	-885213	-668402	-669893	-670208	-669053	-667842	-3405731	-3398003	-16329936	-21667555	-16761920	-16143344
-12605	-22468	-30960	-19729	-32088	-1306	-79781	-78677	-80483	-83050	-81395	-68353	-75817	-77178	-78749	-84209	-88791	-65751	-69114	-74674	-65969	-64884	-60685	-35324	-486792	-453707	-3358732	-23441520	-164390070	-1150468448	-8053537066	-8053524230	-56374623267	-394622278003	-2762356044955	-19336492284700	-135355446102616	-135355446125761	-135355446127909	-135355446130082	-135355446117139	-135355446109912	-135355446129484	-135355446122791	-135355446113840	-135355446124726	-135355446114322	-383866	-19336492407645	-335629	-245973	-484225	-389746	-494473	-2762356128532	-361557	-256452	-328608	-299131	-384062	-394622463711	-102704	-194271	-149051	-273539	-236348	-56374735375	-8053564407	-1150754822	-164414964	-23765805	-668493	-3611783	-669893	-671377	-671622	-670425	-668787	-889532	-669928	-671398	-671622	-670404	-669340	-3411415	-3403785	-16360316	-21698082	-16782451	-16160004
-13046	-22859	-31895	-20326	-32832	-1308	-81503	-80454	-82183	-84843	-83080	-69769	-77483	-78749	-80734	-86157	-90772	-67235	-70812	-76494	-67408	-66298	-62096	-36006	-498299	-464110	-3436200	-23982116	-168182229	-1177006642	-8239311272	-8239297767	-57675037451	-403725175117	-2826076327189	-19782534259813	-138477739930742	-138477739954315	-138477739956494	-138477739958627	-138477739945496	-138477739938037	-138477739958328	-138477739951486	-138477739942356	-138477739953438	-138477739942836	-393918	-19782534385096	-344456	-252084	-497014	-399392	-507661	-2826076412474	-370783	-262878	-336938	-306054	-394128	-403725365008	-104748	-199003	-152677	-280301	-242543	-57675151695	-8239339094	-1177300390	-168207620	-24314913	-686175	-3695937	-687505	-689003	-689297	-688135	-686413	-911302	-687540	-689080	-689346	-688107	-686945	-3500910	-3493259	-16803276	-22287748	-17242463	-16606247
-13743	-25489	-33865	-21814	-35261	-1407	-88378	-85984	-88764	-91107	-89262	-75025	-82423	-84209	-86157	-93258	-96833	-71304	-74466	-80963	-71433	-70431	-65178	-38556	-527663	-492192	-3639567	-25405132	-178157255	-1246819869	-8728015467	-8728002352	-61095963101	-427671652569	-2993701673855	-20955911683829	-146691381906532	-146691381932040	-146691381934649	-146691381937339	-146691381922733	-146691381914970	-146691381936134	-146691381928225	-146691381918581	-146691381930516	-146691381919201	-415513	-20955911819045	-362019	-267127	-520982	-419923	-533232	-2993701765453	-389144	-279657	-353535	-323953	-415730	-427671853763	-113099	-210294	-159985	-298256	-257754	-61096087675	-8728045193	-1247127084	-178184027	-25753077	-719901	-3914281	-721735	-723205	-723324	-721903	-720104	-961170	-721756	-723324	-723366	-721917	-720986	-3678381	-3670296	-17569930	-23283575	-18012792	-17347617
-14600	-25662	-35768	-22765	-37013	-1510	-91661	-90743	-92498	-95614	-93685	-78676	-87440	-88791	-90772	-96833	-102554	-76018	-79937	-86320	-76150	-74918	-70235	-40744	-562703	-524336	-3882435	-27096415	-190021422	-1329846595	-9309224866	-9309210036	-65164417010	-456150820859	-3193055860432	-22351390989040	-156459737049096	-156459737075794	-156459737078232	-156459737080585	-156459737065766	-156459737057477	-156459737079934	-156459737072402	-156459737062144	-156459737074685	-156459737062748	-444227	-22351391129928	-388584	-284277	-560812	-451157	-572782	-3193055956531	-418579	-296345	-380569	-345660	-444430	-456151035025	-118370	-224840	-172809	-316050	-273189	-65164545985	-9309256201	-1330177947	-190050119	-27471633	-774004	-4174954	-775509	-777238	-777574	-776258	-774347	-1028958	-775572	-777308	-777616	-776251	-774907	-3950611	-3941756	-18946487	-25136363	-19441240	-18722312
-10962	-18643	-26586	-16734	-27593	-1154	-67252	-67337	-68142	-70601	-69429	-58382	-65246	-65751	-67235	-71304	-76018	-57104	-60054	-64862	-57038	-56157	-52798	-30320	-423010	-393908	-2918157	-20366184	-142825229	-999547151	-6997056101	-6997044955	-48979274788	-342854849458	-2399984032490	-16799888202694	-117599217512714	-117599217532859	-117599217534602	-117599217536214	-117599217525167	-117599217518990	-117599217535789	-117599217530334	-117599217522695	-117599217532158	-117599217523214	-336105	-16799888307678	-294231	-214718	-424739	-341502	-433972	-2399984104588	-316869	-223860	-288295	-261016	-336266	-342855010568	-89159	-170310	-131187	-238749	-206465	-48979371658	-6997079607	-999797750	-142846970	-20649923	-585879	-3139227	-586936	-588259	-588602	-587636	-586215	-775782	-586964	-588322	-588595	-587650	-586502	-2991268	-2984443	-14340977	-19036549	-14722197	-14180551
-11724	-19150	-28229	-17675	-29065	-1171	-70170	-70749	-71165	-74002	-72720	-60989	-68722	-69114	-70812	-74466	-79937	-60054	-63818	-68539	-60252	-59121	-55983	-31647	-446527	-415223	-3079254	-21487285	-150691638	-1054595689	-7382411796	-7382398905	-51676752899	-361737189361	-2532160418232	-17725122900795	-124075860405561	-124075860426451	-124075860428122	-124075860429697	-124075860418420	-124075860411565	-124075860429953	-124075860424393	-124075860416188	-124075860426053	-124075860416655	-356622	-17725123011575	-312858	-227213	-452515	-362726	-461412	-2532160493870	-337176	-236075	-306439	-276115	-356832	-361737360376	-92638	-179830	-138950	-251580	-217980	-51676852962	-7382436663	-1054863684	-150714557	-21790972	-624141	-3313387	-625009	-626458	-626906	-626003	-624484	-822045	-625044	-626493	-626920	-625975	-624610	-3181066	-3174073	-15329797	-20350582	-15743749	-15163932
-12638	-21117	-30406	-19083	-31606	-1274	-76207	-76510	-77282	-80109	-78787	-66179	-74205	-74674	-76494	-80963	-86320	-64862	-68539	-74044	-64943	-63877	-60100	-34277	-482383	-448902	-3326512	-23215016	-162806431	-1139381106	-7975927466	-7975914372	-55831355873	-390819405501	-2735735937919	-19150151536266	-134051060861888	-134051060884821	-134051060886776	-134051060888619	-134051060876087	-134051060868848	-134051060888365	-134051060882103	-134051060873324	-134051060884108	-134051060873968	-385399	-19150151656762	-337344	-245931	-487088	-390831	-497623	-2735736019989	-362929	-256333	-329938	-298291	-385609	-390819590042	-101171	-194432	-149499	-273154	-236705	-55831465921	-7975954371	-1139668950	-162831067	-23541049	-672035	-3579926	-673183	-674688	-675136	-674058	-672406	-886522	-673197	-674772	-675129	-674065	-672651	-3428880	-3421327	-16471105	-21859635	-16913477	-16293529
